store_name,store_address,store_genre,store_dinner_price_range,store_lunch_price_range,sp1,sp2,sp3,sp4,sp5,sp6,sp7,sp8,sp9,sp10,sp11,sp12,sc1,sc2,sc3,sc4,sc5,sc6,sc7,sc8,sc9,sc10,sc11,sc12,ss1,ss2,ss3,ss4,ss5,ss6,ss7,ss8,ss9,ss10,ss11,ss12,restaurant_local_popular,restaurant_local_cnt,store_review_cnt,sn1,sn2,sn3,sn4,sn5,sn6,sn7,sn8,sn9,sn10,sn11,sn12,local_food_name,img_url,store_homepage,tabelog_url
チャイナダイニング鳳凰,北海道函館市桔梗町418-110 , 中華料理、焼きそば、ラーメン,"1,999","1,999",1,1,3,3,3,3,1,1,1,1,1,1,1.0,1.0,2.0,1.0,1.0,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,ホタテガイ　,ホタテガイ　,エビ　ホタテガイ　,エビ　,エビ　,エビ　,,,,,,ホタテガイ　,[],https://tblg.k-img.com/restaurant/images/Rvw/158807/320x320_square_158807787.jpg,,https://tabelog.com/hokkaido/A0105/A010501/1040561/
らーめん ひらき家,北海道函館市本町10-1 , ラーメン,999,999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,,エビ　,エビ　,エビ　,エビ　,,,,,,,[],https://tblg.k-img.com/restaurant/images/Rvw/162594/320x320_square_162594923.jpg,,https://tabelog.com/hokkaido/A0105/A010501/1011949/
マクドナルド 湯川生協店,北海道函館市湯川町1-34-15 , ハンバーガー,999,999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,[],https://tblg.k-img.com/restaurant/images/Rvw/136290/320x320_square_136290743.jpg,,https://tabelog.com/hokkaido/A0105/A010501/1025839/
鮨島うた,北海道函館市本町22-11 , 寿司、懐石・会席料理、居酒屋,"5,999",60000,1,1,3,3,3,3,3,3,3,1,1,1,1.0,1.0,2.5,2.5,2.5,2.0,1.0,1.0,1.0,1.0,2.5,2.5,2,1,1,1,1,1,1,1,1,2,4,4,3,2,1,エゾアワビ　,サクラマス　,ウニ　サクラマス　エビ　,ウニ　サクラマス　エビ　,ウニ　サクラマス　エビ　,ウニ　エビ　,ウニ　,ウニ　,ウニ　,クロマグロ　,タコ　クロマグロ　エゾアワビ　,タコ　クロマグロ　エゾアワビ　,"['ウニ', 'タコ']",https://tblg.k-img.com/restaurant/images/Rvw/48117/320x320_square_48117105.jpg,http://www.hakodate-shimauta.com/,https://tabelog.com/hokkaido/A0105/A010501/1013865/
さかえ寿し 高砂通支店,北海道函館市 松風町20-5 , 寿司、魚介料理・海鮮料理、居酒屋,"3,999","1,999",2,2,3,3,3,3,3,3,3,1,1,1,2.5,2.0,3,2.0,2.0,3,2.5,2.5,2.0,1.0,2.0,2.5,2,1,1,1,1,1,1,1,1,2,3,3,3,2.5,2,ホタテガイ　エゾアワビ　イカ　,ホタテガイ　イカ　,ホタテガイ　エビ　ウニ　イカ　,エビ　ウニ　,エビ　ウニ　,エビ　ウニ　イカ　ウバガイ　,ウニ　イカ　ウバガイ　,ウニ　イカ　ウバガイ　,ウニ　ウバガイ　,クロマグロ　,クロマグロ　エゾアワビ　,ホタテガイ　クロマグロ　エゾアワビ　,"['ウニ', 'イカ', 'ウバガイ']",https://tblg.k-img.com/restaurant/images/Rvw/93973/320x320_square_93973166.jpg,,https://tabelog.com/hokkaido/A0105/A010501/1021150/
みなと食堂,北海道函館市港町3丁目14-10 , 天ぷら・揚げ物（その他）、ラーメン、定食・食堂,999,999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,,,,,,,,,,,ブリ　,ブリ　,[],https://tblg.k-img.com/restaurant/images/Rvw/126511/320x320_square_126511097.jpg,,https://tabelog.com/hokkaido/A0105/A010501/1028390/
イマジンホテルアンドリゾート函館,北海道函館市湯川町3-1-17 , 旅館、バイキング,"5,999","9,999",1,1,2,2,2,2,1,1,2,2,2,1,2.0,2.0,2.5,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.5,2.5,1,1,1,1,1,1,1,1,2,3,4,3,2,1.5,2,ホタテガイ　イカ　,ホタテガイ　イカ　,エビ　ホタテガイ　イカ　,エビ　,エビ　,エビ　イカ　,イカ　,イカ　,サケ　,サケ　クロマグロ　,サケ　クロマグロ　ズワイガニ　,ホタテガイ　クロマグロ　ズワイガニ　,['イカ'],https://tblg.k-img.com/restaurant/images/Rvw/156122/320x320_square_156122663.jpg,http://www.imgnjp.com/hrhakodate/,https://tabelog.com/hokkaido/A0105/A010501/1039417/
熊猫社中洋食キッチン Sato,北海道函館市山の手2-9-22 , 洋食、西洋各国料理（その他）、ハンバーグ,"4,999","2,999",1,1,3,3,3,3,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,,,エビ　,エビ　,エビ　,エビ　,,,,,,,[],https://tblg.k-img.com/restaurant/images/Rvw/137955/320x320_square_137955694.jpg,http://kumanekosato.com/index.html,https://tabelog.com/hokkaido/A0105/A010501/1040249/
元町珈琲店,北海道函館市元町31-11 , カフェ、喫茶店、コーヒー専門店,999,999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,,,,,,,,,,,,[],https://tblg.k-img.com/restaurant/images/Rvw/26640/320x320_square_26640566.jpg,http://motomachi-coffee.com/,https://tabelog.com/hokkaido/A0105/A010501/1041847/
そば処更科丸屋 美原店,北海道函館市美原2-14-31 , そば、うどん,60000,999,1,1,3,3,3,3,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,,,エビ　,エビ　,エビ　,エビ　,,,,,,,[],https://tblg.k-img.com/restaurant/images/Rvw/76985/320x320_square_76985312.jpg,,https://tabelog.com/hokkaido/A0105/A010501/1012809/
