store_name,reviewr_name,reviewr_id,reviewr_url
patisserie　Short Berry,onikuma(2184),000408801,https://tabelog.com/rvwr/000408801/
patisserie　Short Berry,Dr.ma(37),001362733,https://tabelog.com/rvwr/001362733/
patisserie　Short Berry,ﾋﾟﾖ(44),000414938,https://tabelog.com/rvwr/000414938/
patisserie　Short Berry,えぞむらさき(2754),002118595,https://tabelog.com/rvwr/002118595/
patisserie　Short Berry,しらす757(2306),005736668,https://tabelog.com/rvwr/005736668/
patisserie　Short Berry,めえめえめえ(1015),000470871,https://tabelog.com/rvwr/000470871/
patisserie　Short Berry,しゃけとら(94),007196706,https://tabelog.com/rvwr/007196706/
patisserie　Short Berry,mamister(429),000517578,https://tabelog.com/rvwr/000517578/
patisserie　Short Berry,レブロン6(505),001920159,https://tabelog.com/rvwr/001920159/
patisserie　Short Berry,泡盛M(320),001282686,https://tabelog.com/rvwr/001282686/
patisserie　Short Berry,メタゾウ(6),000210066,https://tabelog.com/rvwr/000210066/
patisserie　Short Berry,パパココナッツ(23),003318140,https://tabelog.com/rvwr/003318140/
patisserie　Short Berry,酒スキーＦ(2),003272136,https://tabelog.com/rvwr/003272136/
