reviewr_name,reviewr_url,store_id,store_name,store_address,store_genre,store_tellnum,store_closedday,store_homepage,store_dinner_price_range,store_lunch_price_range,store_score
五井コエチア(570),https://tabelog.com/rvwr/000094311/,1,カレー＆スペース・e-two,千葉県習志野市津田沼5丁目6-23 ,"カレーライス
",-,月火,https://www.e-two.net/,-,"￥1,000～￥1,999",-
五井コエチア(570),https://tabelog.com/rvwr/000094311/,2,雷神餃子 ヌードルツアーズ 都賀店,千葉県千葉市若葉区桜木北3-5-6 ,"その他
",-,,,-,-,-
五井コエチア(570),https://tabelog.com/rvwr/000094311/,3,西むら,栃木県鹿沼市口粟野812 ,"割烹・小料理、そば
",-,不定休,,-,"￥8,000～￥9,999",3.03
五井コエチア(570),https://tabelog.com/rvwr/000094311/,4,MAHALO BAGLE,千葉県千葉市美浜区稲毛海岸4-6-13 稲毛マリーンハイツ 2F,"ベーグル
",-,月曜日、火曜日、木曜日、金曜日、日曜日,,-,-,-
五井コエチア(570),https://tabelog.com/rvwr/000094311/,5,お野菜クリニック とまりこ食堂,千葉県銚子市茶畑町14999-9 ,"野菜料理、自然食
",-,水曜日、木曜日、第4日曜日,https://www.lindo-tomaco-farm.com/marikos-little-kitchen,-,"￥1,000～￥1,999",-
五井コエチア(570),https://tabelog.com/rvwr/000094311/,6,支那そば けんちゃん,千葉県匝瑳市吉崎4888-15 ,"ラーメン
",-,,,-,～￥999,-
五井コエチア(570),https://tabelog.com/rvwr/000094311/,7,Shirokuma Diner,千葉県木更津市太田4-12-30 ,"カフェ
",-,不定休,,-,"￥1,000～￥1,999",-
五井コエチア(570),https://tabelog.com/rvwr/000094311/,8,鰻のひろ田,静岡県御殿場市東田中870-1 ファッションプラザ 2F,"うなぎ
",-,水曜,https://unagi-hirota.com/menu.html,"￥5,000～￥5,999","￥3,000～￥3,999",3.39
五井コエチア(570),https://tabelog.com/rvwr/000094311/,9,遊季庭かわ嶋,静岡県御殿場市川島田284-5 ,"そば
",-,月曜・火曜　※月・火が祝日の場合は営業いたします。,http://www.toyo-printing.co.jp/kawashima/,-,"￥1,000～￥1,999",3.47
五井コエチア(570),https://tabelog.com/rvwr/000094311/,10,Farm cafe Gon,千葉県長生郡長生村本郷3237 ,"カフェ、洋食
",-,月曜日,https://longevity.gift/index.php,-,"￥1,000～￥1,999",3.00
五井コエチア(570),https://tabelog.com/rvwr/000094311/,11,おにぎらず専門店 美ら屋,千葉県いすみ市岬町和泉2053 ,"おにぎり
",-,,,-,-,-
五井コエチア(570),https://tabelog.com/rvwr/000094311/,12,本郷ベーカリー 木更津ファクトリー店,千葉県木更津市かずさ鎌足2-2-3 ,"パン
",-,,,-,-,-
