store_name,reviewr_name,reviewr_id,reviewr_url
あぐりスタンド,せくれたりー(233),000124946,https://tabelog.com/rvwr/000124946/
あぐりスタンド,もみすたー(356),003180184,https://tabelog.com/rvwr/003180184/
あぐりスタンド,みぃーちゃん。(605),002227483,https://tabelog.com/rvwr/002227483/
あぐりスタンド,sophia703(693),001040900,https://tabelog.com/rvwr/001040900/
あぐりスタンド,kabo-cha(1606),001196582,https://tabelog.com/rvwr/001196582/
あぐりスタンド,まっぱぁ(1119),mapper,https://tabelog.com/rvwr/mapper/
あぐりスタンド,ayuay53(404),001500516,https://tabelog.com/rvwr/001500516/
あぐりスタンド,パーティールーム(281),partyroomjp,https://tabelog.com/rvwr/partyroomjp/
あぐりスタンド,世界食堂(51),001347797,https://tabelog.com/rvwr/001347797/
あぐりスタンド,カナ(8),000072817,https://tabelog.com/rvwr/000072817/
