store_name,reviewr_name,reviewr_id,reviewr_url
スーパーホテル 函館,職人！西島兵庫(3779),002023528,https://tabelog.com/rvwr/002023528/
スーパーホテル 函館,旅浪漫(1291),tabiroman,https://tabelog.com/rvwr/tabiroman/
スーパーホテル 函館,しらす757(2301),005736668,https://tabelog.com/rvwr/005736668/
スーパーホテル 函館,すずめちゅん(475),000084978,https://tabelog.com/rvwr/000084978/
スーパーホテル 函館,かず4295(765),006656557,https://tabelog.com/rvwr/006656557/
スーパーホテル 函館,セシモテレビ(258),seshimo3,https://tabelog.com/rvwr/seshimo3/
スーパーホテル 函館,はやし しでき(6),002553704,https://tabelog.com/rvwr/002553704/
スーパーホテル 函館,yummyco(18),001968817,https://tabelog.com/rvwr/001968817/
スーパーホテル 函館,おーるどみす(445),009183179,https://tabelog.com/rvwr/009183179/
スーパーホテル 函館,kochi692(0),004547856,https://tabelog.com/rvwr/004547856/
スーパーホテル 函館,tansoku(612),001181969,https://tabelog.com/rvwr/001181969/
スーパーホテル 函館,chika41164(0),005166508,https://tabelog.com/rvwr/005166508/
スーパーホテル 函館,せばっ！(14),000228765,https://tabelog.com/rvwr/000228765/
スーパーホテル 函館,とものり１(1),008471125,https://tabelog.com/rvwr/008471125/
