store_name,reviewr_name,reviewr_url,zenkoku_num,hakodate_num,rate
HAKOYA 函館空港ターミナル店,005780311,https://tabelog.com/rvwr/005780311/,473,5,0.0105708245243128
HAKOYA 函館空港ターミナル店,001363711,https://tabelog.com/rvwr/001363711/,1271,59,0.046420141620771
HAKOYA 函館空港ターミナル店,000503770,https://tabelog.com/rvwr/000503770/,99,4,0.0404040404040404
HAKOYA 函館空港ターミナル店,002188934,https://tabelog.com/rvwr/002188934/,2291,3,0.0013094718463553
HAKOYA 函館空港ターミナル店,maido2010,https://tabelog.com/rvwr/maido2010/,566,4,0.0070671378091872
HAKOYA 函館空港ターミナル店,006676678,https://tabelog.com/rvwr/006676678/,395,43,0.1088607594936708
HAKOYA 函館空港ターミナル店,003387057,https://tabelog.com/rvwr/003387057/,1488,10,0.0067204301075268
HAKOYA 函館空港ターミナル店,018809576,https://tabelog.com/rvwr/018809576/,130,11,0.0846153846153846
HAKOYA 函館空港ターミナル店,019905065,https://tabelog.com/rvwr/019905065/,67,11,0.1641791044776119
HAKOYA 函館空港ターミナル店,006073596,https://tabelog.com/rvwr/006073596/,809,3,0.003708281829419
HAKOYA 函館空港ターミナル店,002295427,https://tabelog.com/rvwr/002295427/,1954,14,0.007164790174002
HAKOYA 函館空港ターミナル店,006656557,https://tabelog.com/rvwr/006656557/,1718,50,0.029103608847497
HAKOYA 函館空港ターミナル店,000774749,https://tabelog.com/rvwr/000774749/,1087,14,0.0128794848206071
HAKOYA 函館空港ターミナル店,002936375,https://tabelog.com/rvwr/002936375/,316,9,0.0284810126582278
HAKOYA 函館空港ターミナル店,001803308,https://tabelog.com/rvwr/001803308/,1543,3,0.0019442644199611
HAKOYA 函館空港ターミナル店,00023925,https://tabelog.com/rvwr/00023925/,488,1,0.0020491803278688
HAKOYA 函館空港ターミナル店,003801197,https://tabelog.com/rvwr/003801197/,381,86,0.2257217847769028
HAKOYA 函館空港ターミナル店,kazu2786,https://tabelog.com/rvwr/kazu2786/,612,9,0.0147058823529411
HAKOYA 函館空港ターミナル店,007635076,https://tabelog.com/rvwr/007635076/,169,4,0.0236686390532544
HAKOYA 函館空港ターミナル店,001920159,https://tabelog.com/rvwr/001920159/,659,371,0.5629742033383915
HAKOYA 函館空港ターミナル店,014236777,https://tabelog.com/rvwr/014236777/,83,2,0.0240963855421686
HAKOYA 函館空港ターミナル店,005736668,https://tabelog.com/rvwr/005736668/,1448,1137,0.7852209944751382
HAKOYA 函館空港ターミナル店,001947604,https://tabelog.com/rvwr/001947604/,554,2,0.003610108303249
HAKOYA 函館空港ターミナル店,000831260,https://tabelog.com/rvwr/000831260/,2784,81,0.0290948275862068
HAKOYA 函館空港ターミナル店,011967255,https://tabelog.com/rvwr/011967255/,307,85,0.2768729641693811
HAKOYA 函館空港ターミナル店,001110158,https://tabelog.com/rvwr/001110158/,294,5,0.0170068027210884
HAKOYA 函館空港ターミナル店,011221575,https://tabelog.com/rvwr/011221575/,432,166,0.3842592592592592
HAKOYA 函館空港ターミナル店,002849044,https://tabelog.com/rvwr/002849044/,653,35,0.0535987748851454
HAKOYA 函館空港ターミナル店,000885898,https://tabelog.com/rvwr/000885898/,18,1,0.0555555555555555
HAKOYA 函館空港ターミナル店,005738890,https://tabelog.com/rvwr/005738890/,249,8,0.0321285140562249
HAKOYA 函館空港ターミナル店,017198328,https://tabelog.com/rvwr/017198328/,103,6,0.058252427184466
HAKOYA 函館空港ターミナル店,004041309,https://tabelog.com/rvwr/004041309/,918,8,0.008714596949891
HAKOYA 函館空港ターミナル店,001837563,https://tabelog.com/rvwr/001837563/,1289,6,0.0046547711404189
HAKOYA 函館空港ターミナル店,016203282,https://tabelog.com/rvwr/016203282/,20,7,0.35
HAKOYA 函館空港ターミナル店,003124636,https://tabelog.com/rvwr/003124636/,449,3,0.0066815144766146
HAKOYA 函館空港ターミナル店,004403540,https://tabelog.com/rvwr/004403540/,128,6,0.046875
HAKOYA 函館空港ターミナル店,002861056,https://tabelog.com/rvwr/002861056/,613,9,0.0146818923327895
HAKOYA 函館空港ターミナル店,acchin721,https://tabelog.com/rvwr/acchin721/,383,6,0.0156657963446475
HAKOYA 函館空港ターミナル店,005501901,https://tabelog.com/rvwr/005501901/,140,2,0.0142857142857142
HAKOYA 函館空港ターミナル店,002735662,https://tabelog.com/rvwr/002735662/,807,443,0.5489467162329615
HAKOYA 函館空港ターミナル店,003671020,https://tabelog.com/rvwr/003671020/,576,105,0.1822916666666666
HAKOYA 函館空港ターミナル店,timufufu,https://tabelog.com/rvwr/timufufu/,1665,17,0.0102102102102102
HAKOYA 函館空港ターミナル店,007626743,https://tabelog.com/rvwr/007626743/,1113,23,0.0206648697214734
