store_name,reviewr_name,reviewr_url,zenkoku_num,hakodate_num,rate
bar−del CLOE,osarutotanuki,https://tabelog.com/rvwr/osarutotanuki/,2912,45,0.0154532967032967
bar−del CLOE,002227483,https://tabelog.com/rvwr/002227483/,471,367,0.7791932059447984
bar−del CLOE,makikocafe,https://tabelog.com/rvwr/makikocafe/,153,38,0.2483660130718954
bar−del CLOE,pinosuke,https://tabelog.com/rvwr/pinosuke/,344,81,0.2354651162790697
bar−del CLOE,005736668,https://tabelog.com/rvwr/005736668/,1448,1137,0.7852209944751382
bar−del CLOE,000470871,https://tabelog.com/rvwr/000470871/,2058,455,0.2210884353741496
bar−del CLOE,008930767,https://tabelog.com/rvwr/008930767/,464,293,0.6314655172413793
bar−del CLOE,002625576,https://tabelog.com/rvwr/002625576/,44,22,0.5
bar−del CLOE,001920159,https://tabelog.com/rvwr/001920159/,659,371,0.5629742033383915
bar−del CLOE,000818753,https://tabelog.com/rvwr/000818753/,12,12,1.0
bar−del CLOE,000408801,https://tabelog.com/rvwr/000408801/,4192,814,0.1941793893129771
bar−del CLOE,011221575,https://tabelog.com/rvwr/011221575/,432,166,0.3842592592592592
bar−del CLOE,011446388,https://tabelog.com/rvwr/011446388/,67,44,0.6567164179104478
bar−del CLOE,002735662,https://tabelog.com/rvwr/002735662/,807,443,0.5489467162329615
bar−del CLOE,004481546,https://tabelog.com/rvwr/004481546/,155,76,0.4903225806451612
bar−del CLOE,000705209,https://tabelog.com/rvwr/000705209/,15,2,0.1333333333333333
bar−del CLOE,008259727,https://tabelog.com/rvwr/008259727/,60,39,0.65
bar−del CLOE,004195420,https://tabelog.com/rvwr/004195420/,168,92,0.5476190476190477
bar−del CLOE,007557210,https://tabelog.com/rvwr/007557210/,62,36,0.5806451612903226
bar−del CLOE,006639431,https://tabelog.com/rvwr/006639431/,454,167,0.36784140969163
bar−del CLOE,001290819,https://tabelog.com/rvwr/001290819/,123,86,0.6991869918699187
bar−del CLOE,003699175,https://tabelog.com/rvwr/003699175/,116,17,0.146551724137931
bar−del CLOE,004880014,https://tabelog.com/rvwr/004880014/,39,31,0.7948717948717948
bar−del CLOE,000101581,https://tabelog.com/rvwr/000101581/,632,3,0.0047468354430379
bar−del CLOE,002507522,https://tabelog.com/rvwr/002507522/,222,160,0.7207207207207207
bar−del CLOE,003105852,https://tabelog.com/rvwr/003105852/,101,56,0.5544554455445545
bar−del CLOE,001929280,https://tabelog.com/rvwr/001929280/,1116,15,0.0134408602150537
bar−del CLOE,000830628,https://tabelog.com/rvwr/000830628/,11,6,0.5454545454545454
bar−del CLOE,000449543,https://tabelog.com/rvwr/000449543/,7,7,1.0
bar−del CLOE,00048572,https://tabelog.com/rvwr/00048572/,2,1,0.5
