store_name,reviewr_name,reviewr_url,zenkoku_num,hakodate_num,rate
清寿司五稜郭,gimlet,https://tabelog.com/rvwr/gimlet/,5041,55,0.0109105336242808
清寿司五稜郭,000260110,https://tabelog.com/rvwr/000260110/,1893,102,0.0538827258320126
清寿司五稜郭,wanko,https://tabelog.com/rvwr/wanko/,220,99,0.45
清寿司五稜郭,001282686,https://tabelog.com/rvwr/001282686/,409,150,0.3667481662591687
清寿司五稜郭,001117806,https://tabelog.com/rvwr/001117806/,815,26,0.0319018404907975
清寿司五稜郭,000170958,https://tabelog.com/rvwr/000170958/,57,2,0.0350877192982456
清寿司五稜郭,009951394,https://tabelog.com/rvwr/009951394/,186,12,0.064516129032258
清寿司五稜郭,000187818,https://tabelog.com/rvwr/000187818/,1354,23,0.0169867060561299
清寿司五稜郭,001347797,https://tabelog.com/rvwr/001347797/,6766,584,0.0863139225539462
清寿司五稜郭,000099795,https://tabelog.com/rvwr/000099795/,38,5,0.131578947368421
清寿司五稜郭,000072817,https://tabelog.com/rvwr/000072817/,901,403,0.4472807991120976
