store_name,reviewr_name,reviewr_url,zenkoku_num,hakodate_num,rate
車寿し,000139422,https://tabelog.com/rvwr/000139422/,8,1,0.125
車寿し,39minami,https://tabelog.com/rvwr/39minami/,29,1,0.0344827586206896
車寿し,000342373,https://tabelog.com/rvwr/000342373/,73,51,0.6986301369863014
車寿し,001751498,https://tabelog.com/rvwr/001751498/,152,87,0.5723684210526315
車寿し,001282686,https://tabelog.com/rvwr/001282686/,409,150,0.3667481662591687
車寿し,009345410,https://tabelog.com/rvwr/009345410/,4,1,0.25
車寿し,004509109,https://tabelog.com/rvwr/004509109/,511,431,0.8434442270058709
車寿し,002171559,https://tabelog.com/rvwr/002171559/,546,7,0.0128205128205128
車寿し,000392367,https://tabelog.com/rvwr/000392367/,193,96,0.4974093264248704
車寿し,001347797,https://tabelog.com/rvwr/001347797/,6766,584,0.0863139225539462
車寿し,006663008,https://tabelog.com/rvwr/006663008/,1316,43,0.0326747720364741
